entry_time,entry_price,exit_time,exit_price,exit_reason,stop_price,target_price,gross_pnl,holding_minutes,same_bar_stop_target_ambiguity,candidate_id,instrument,family,strategy_family,variant,signal_timeframe,execution_timeframe,entry_rule,stop_rule,target_rule,time_stop,max_trades_per_day,stop_after_first_loser,one_open_position,execution_mode,discovery_role,params,signal_time,signal_available_time,trading_session,side,reason,base_cost,stress_cost,net_pnl,stress_net_pnl,split,entry_hour
2026-04-06 10:03:00-04:00,24355.75,2026-04-06 13:12:00-04:00,24245.25,target,24478.4625,24245.25,221.0,189,0,MNQ_opening_range_failure_or30_tf3_opposite_max2,MNQ,opening_range_failure,opening_range_failure,or30_tf3_opposite_max2,3,1m,close back inside failed opening range,35pct opening range beyond failed side,opposite of opening range,15:55 ET,2,False,True,max2,robustness_confirmation,min_range=10.0;or_minutes=30;target=opposite,2026-04-06 10:00:00-04:00,2026-04-06 10:03:00-04:00,2026-04-06,short,or_failure_short,2.74,3.74,218.26,217.26,discovery,10:03
2026-04-07 10:24:00-04:00,24119.75,2026-04-07 10:51:00-04:00,24053.1625,stop,24053.1625,24303.25,-133.1750000000029,27,0,MNQ_opening_range_failure_or30_tf3_opposite_max2,MNQ,opening_range_failure,opening_range_failure,or30_tf3_opposite_max2,3,1m,close back inside failed opening range,35pct opening range beyond failed side,opposite of opening range,15:55 ET,2,False,True,max2,robustness_confirmation,min_range=10.0;or_minutes=30;target=opposite,2026-04-07 10:21:00-04:00,2026-04-07 10:24:00-04:00,2026-04-07,long,or_failure_long,2.74,3.74,-135.91500000000292,-136.91500000000292,discovery,10:24
2026-04-08 10:09:00-04:00,25068.0,2026-04-08 10:52:00-04:00,24999.6375,stop,24999.6375,25251.75,-136.72499999999854,43,0,MNQ_opening_range_failure_or30_tf3_opposite_max2,MNQ,opening_range_failure,opening_range_failure,or30_tf3_opposite_max2,3,1m,close back inside failed opening range,35pct opening range beyond failed side,opposite of opening range,15:55 ET,2,False,True,max2,robustness_confirmation,min_range=10.0;or_minutes=30;target=opposite,2026-04-08 10:06:00-04:00,2026-04-08 10:09:00-04:00,2026-04-08,long,or_failure_long,2.74,3.74,-139.46499999999855,-140.46499999999855,discovery,10:09
2026-04-08 11:48:00-04:00,25075.0,2026-04-08 14:50:00-04:00,24999.6375,stop,24999.6375,25251.75,-150.72499999999854,182,0,MNQ_opening_range_failure_or30_tf3_opposite_max2,MNQ,opening_range_failure,opening_range_failure,or30_tf3_opposite_max2,3,1m,close back inside failed opening range,35pct opening range beyond failed side,opposite of opening range,15:55 ET,2,False,True,max2,robustness_confirmation,min_range=10.0;or_minutes=30;target=opposite,2026-04-08 11:45:00-04:00,2026-04-08 11:48:00-04:00,2026-04-08,long,or_failure_long,2.74,3.74,-153.46499999999855,-154.46499999999855,discovery,11:48
2026-04-09 10:12:00-04:00,25017.75,2026-04-09 10:27:00-04:00,24967.9625,stop,24967.9625,25112.75,-99.57499999999709,15,0,MNQ_opening_range_failure_or30_tf3_opposite_max2,MNQ,opening_range_failure,opening_range_failure,or30_tf3_opposite_max2,3,1m,close back inside failed opening range,35pct opening range beyond failed side,opposite of opening range,15:55 ET,2,False,True,max2,robustness_confirmation,min_range=10.0;or_minutes=30;target=opposite,2026-04-09 10:09:00-04:00,2026-04-09 10:12:00-04:00,2026-04-09,long,or_failure_long,2.74,3.74,-102.31499999999708,-103.31499999999708,discovery,10:12
2026-04-09 10:51:00-04:00,25018.5,2026-04-09 11:32:00-04:00,25112.75,target,24967.9625,25112.75,188.5,41,0,MNQ_opening_range_failure_or30_tf3_opposite_max2,MNQ,opening_range_failure,opening_range_failure,or30_tf3_opposite_max2,3,1m,close back inside failed opening range,35pct opening range beyond failed side,opposite of opening range,15:55 ET,2,False,True,max2,robustness_confirmation,min_range=10.0;or_minutes=30;target=opposite,2026-04-09 10:48:00-04:00,2026-04-09 10:51:00-04:00,2026-04-09,long,or_failure_long,2.74,3.74,185.76,184.76,discovery,10:51
2026-04-10 10:03:00-04:00,25294.25,2026-04-10 10:32:00-04:00,25372.0,target,25261.3,25372.0,155.5,29,0,MNQ_opening_range_failure_or30_tf3_opposite_max2,MNQ,opening_range_failure,opening_range_failure,or30_tf3_opposite_max2,3,1m,close back inside failed opening range,35pct opening range beyond failed side,opposite of opening range,15:55 ET,2,False,True,max2,robustness_confirmation,min_range=10.0;or_minutes=30;target=opposite,2026-04-10 10:00:00-04:00,2026-04-10 10:03:00-04:00,2026-04-10,long,or_failure_long,2.74,3.74,152.76,151.76,discovery,10:03
2026-04-10 10:33:00-04:00,25360.0,2026-04-10 11:40:00-04:00,25290.0,target,25400.7,25290.0,140.0,67,0,MNQ_opening_range_failure_or30_tf3_opposite_max2,MNQ,opening_range_failure,opening_range_failure,or30_tf3_opposite_max2,3,1m,close back inside failed opening range,35pct opening range beyond failed side,opposite of opening range,15:55 ET,2,False,True,max2,robustness_confirmation,min_range=10.0;or_minutes=30;target=opposite,2026-04-10 10:30:00-04:00,2026-04-10 10:33:00-04:00,2026-04-10,short,or_failure_short,2.74,3.74,137.26,136.26,discovery,10:33
2026-04-13 10:03:00-04:00,25303.25,2026-04-13 12:25:00-04:00,25364.1875,stop,25364.1875,25160.0,-121.875,142,0,MNQ_opening_range_failure_or30_tf3_opposite_max2,MNQ,opening_range_failure,opening_range_failure,or30_tf3_opposite_max2,3,1m,close back inside failed opening range,35pct opening range beyond failed side,opposite of opening range,15:55 ET,2,False,True,max2,robustness_confirmation,min_range=10.0;or_minutes=30;target=opposite,2026-04-13 10:00:00-04:00,2026-04-13 10:03:00-04:00,2026-04-13,short,or_failure_short,2.74,3.74,-124.615,-125.615,discovery,10:03
2026-04-14 10:12:00-04:00,25755.5,2026-04-14 10:28:00-04:00,25801.55,stop,25801.55,25655.75,-92.09999999999854,16,0,MNQ_opening_range_failure_or30_tf3_opposite_max2,MNQ,opening_range_failure,opening_range_failure,or30_tf3_opposite_max2,3,1m,close back inside failed opening range,35pct opening range beyond failed side,opposite of opening range,15:55 ET,2,False,True,max2,robustness_confirmation,min_range=10.0;or_minutes=30;target=opposite,2026-04-14 10:09:00-04:00,2026-04-14 10:12:00-04:00,2026-04-14,short,or_failure_short,2.74,3.74,-94.83999999999854,-95.83999999999854,discovery,10:12
