portfolio_set,portfolio_mode,fold,net_pnl,stress_pnl,active_days
audit_a_best_reconstructed,raw_sum_diagnostic,1,-205.24,-246.24,41
audit_a_best_reconstructed,raw_sum_diagnostic,2,343.91,302.91,41
audit_a_best_reconstructed,raw_sum_diagnostic,3,3064.56,3023.56,41
audit_a_best_reconstructed,raw_sum_diagnostic,4,1173.33,1132.33,41
audit_a_best_reconstructed,raw_sum_diagnostic,5,465.67,424.67,41
audit_a_best_reconstructed,raw_sum_diagnostic,6,3881.92,3840.92,41
audit_a_best_reconstructed,one_trade_at_a_time_chronological,1,-82.11,-115.11,33
audit_a_best_reconstructed,one_trade_at_a_time_chronological,2,686.11,653.11,33
audit_a_best_reconstructed,one_trade_at_a_time_chronological,3,1932.18,1899.18,33
audit_a_best_reconstructed,one_trade_at_a_time_chronological,4,88.93,55.93,33
audit_a_best_reconstructed,one_trade_at_a_time_chronological,5,94.37,61.37,33
audit_a_best_reconstructed,one_trade_at_a_time_chronological,6,3688.66,3654.66,34
audit_a_best_reconstructed,max_one_trade_per_session,1,34.95,1.95,33
audit_a_best_reconstructed,max_one_trade_per_session,2,1044.57,1011.57,33
audit_a_best_reconstructed,max_one_trade_per_session,3,960.42,927.42,33
audit_a_best_reconstructed,max_one_trade_per_session,4,-492.42,-525.42,33
audit_a_best_reconstructed,max_one_trade_per_session,5,1292.29,1259.29,33
audit_a_best_reconstructed,max_one_trade_per_session,6,2689.44,2655.44,34
audit_a_best_plus_phase13a,raw_sum_diagnostic,1,-480.92,-521.92,41
audit_a_best_plus_phase13a,raw_sum_diagnostic,2,819.15,778.15,41
audit_a_best_plus_phase13a,raw_sum_diagnostic,3,1625.84,1584.84,41
audit_a_best_plus_phase13a,raw_sum_diagnostic,4,1885.87,1844.87,41
audit_a_best_plus_phase13a,raw_sum_diagnostic,5,2728.17,2687.17,41
audit_a_best_plus_phase13a,raw_sum_diagnostic,6,3908.04,3867.04,41
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,1,-379.8,-418.8,39
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2,724.93,685.93,39
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,3,1245.41,1206.41,39
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,4,89.99,50.99,39
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,5,1828.14,1789.14,39
