portfolio_set,portfolio_mode,fold,net_pnl,stress_pnl,active_days
audit_b_best_reconstructed,raw_sum_diagnostic,1,-332.2,-365.2,33
audit_b_best_reconstructed,raw_sum_diagnostic,2,913.67,880.67,33
audit_b_best_reconstructed,raw_sum_diagnostic,3,2669.0,2636.0,33
audit_b_best_reconstructed,raw_sum_diagnostic,4,823.53,790.53,33
audit_b_best_reconstructed,raw_sum_diagnostic,5,449.19,416.19,33
audit_b_best_reconstructed,raw_sum_diagnostic,6,4200.96,4166.96,34
audit_b_best_reconstructed,one_trade_at_a_time_chronological,1,-82.11,-115.11,33
audit_b_best_reconstructed,one_trade_at_a_time_chronological,2,686.11,653.11,33
audit_b_best_reconstructed,one_trade_at_a_time_chronological,3,1932.18,1899.18,33
audit_b_best_reconstructed,one_trade_at_a_time_chronological,4,88.93,55.93,33
audit_b_best_reconstructed,one_trade_at_a_time_chronological,5,94.37,61.37,33
audit_b_best_reconstructed,one_trade_at_a_time_chronological,6,3688.66,3654.66,34
audit_b_best_reconstructed,max_one_trade_per_session,1,34.95,1.95,33
audit_b_best_reconstructed,max_one_trade_per_session,2,1044.57,1011.57,33
audit_b_best_reconstructed,max_one_trade_per_session,3,960.42,927.42,33
audit_b_best_reconstructed,max_one_trade_per_session,4,-492.42,-525.42,33
audit_b_best_reconstructed,max_one_trade_per_session,5,1292.29,1259.29,33
audit_b_best_reconstructed,max_one_trade_per_session,6,2689.44,2655.44,34
audit_b_best_plus_phase14a,raw_sum_diagnostic,1,-105.24,-141.24,36
audit_b_best_plus_phase14a,raw_sum_diagnostic,2,548.28,512.28,36
audit_b_best_plus_phase14a,raw_sum_diagnostic,3,2686.27,2650.27,36
audit_b_best_plus_phase14a,raw_sum_diagnostic,4,597.34,561.34,36
audit_b_best_plus_phase14a,raw_sum_diagnostic,5,466.12,430.12,36
audit_b_best_plus_phase14a,raw_sum_diagnostic,6,5329.35,5289.35,40
audit_b_best_plus_phase14a,one_trade_at_a_time_chronological,1,51.01,15.01,36
audit_b_best_plus_phase14a,one_trade_at_a_time_chronological,2,436.46,400.46,36
audit_b_best_plus_phase14a,one_trade_at_a_time_chronological,3,1876.15,1840.15,36
audit_b_best_plus_phase14a,one_trade_at_a_time_chronological,4,-234.04,-270.04,36
audit_b_best_plus_phase14a,one_trade_at_a_time_chronological,5,220.28,184.28,36
audit_b_best_plus_phase14a,one_trade_at_a_time_chronological,6,4561.23,4521.23,40
audit_b_best_plus_phase14a,max_one_trade_per_session,1,232.98,196.98,36
audit_b_best_plus_phase14a,max_one_trade_per_session,2,938.48,902.48,36
audit_b_best_plus_phase14a,max_one_trade_per_session,3,248.2,212.2,36
audit_b_best_plus_phase14a,max_one_trade_per_session,4,-173.89,-209.89,36
audit_b_best_plus_phase14a,max_one_trade_per_session,5,1001.85,965.85,36
audit_b_best_plus_phase14a,max_one_trade_per_session,6,2232.07,2192.07,40
audit_b_best_plus_phase13a_and_phase14a,raw_sum_diagnostic,1,-380.92,-420.92,40
audit_b_best_plus_phase13a_and_phase14a,raw_sum_diagnostic,2,1081.26,1041.26,40
audit_b_best_plus_phase13a_and_phase14a,raw_sum_diagnostic,3,1289.55,1249.55,40
audit_b_best_plus_phase13a_and_phase14a,raw_sum_diagnostic,4,808.36,768.36,40
audit_b_best_plus_phase13a_and_phase14a,raw_sum_diagnostic,5,3378.48,3338.48,40
audit_b_best_plus_phase13a_and_phase14a,raw_sum_diagnostic,6,5107.39,5063.39,44
audit_b_best_plus_phase13a_and_phase14a,one_trade_at_a_time_chronological,1,-306.42,-346.42,40
audit_b_best_plus_phase13a_and_phase14a,one_trade_at_a_time_chronological,2,811.54,771.54,40
audit_b_best_plus_phase13a_and_phase14a,one_trade_at_a_time_chronological,3,1131.08,1091.08,40
audit_b_best_plus_phase13a_and_phase14a,one_trade_at_a_time_chronological,4,-194.02,-234.02,40
audit_b_best_plus_phase13a_and_phase14a,one_trade_at_a_time_chronological,5,1270.03,1230.03,40
audit_b_best_plus_phase13a_and_phase14a,one_trade_at_a_time_chronological,6,4421.01,4377.01,44
audit_b_best_plus_phase13a_and_phase14a,max_one_trade_per_session,1,-51.32,-91.32,40
audit_b_best_plus_phase13a_and_phase14a,max_one_trade_per_session,2,657.72,617.72,40
audit_b_best_plus_phase13a_and_phase14a,max_one_trade_per_session,3,-1529.53,-1569.53,40
audit_b_best_plus_phase13a_and_phase14a,max_one_trade_per_session,4,479.51,439.51,40
audit_b_best_plus_phase13a_and_phase14a,max_one_trade_per_session,5,1783.79,1743.79,40
audit_b_best_plus_phase13a_and_phase14a,max_one_trade_per_session,6,2345.43,2301.43,44
top_cross_family_plus_13a_14a,raw_sum_diagnostic,1,-1307.45,-1347.45,40
top_cross_family_plus_13a_14a,raw_sum_diagnostic,2,2161.29,2121.29,40
top_cross_family_plus_13a_14a,raw_sum_diagnostic,3,-767.1,-807.1,40
top_cross_family_plus_13a_14a,raw_sum_diagnostic,4,-127.46,-167.46,40
top_cross_family_plus_13a_14a,raw_sum_diagnostic,5,4002.83,3962.83,40
top_cross_family_plus_13a_14a,raw_sum_diagnostic,6,3277.77,3234.77,43
top_cross_family_plus_13a_14a,one_trade_at_a_time_chronological,1,-1199.63,-1239.63,40
top_cross_family_plus_13a_14a,one_trade_at_a_time_chronological,2,1577.36,1537.36,40
top_cross_family_plus_13a_14a,one_trade_at_a_time_chronological,3,682.77,642.77,40
top_cross_family_plus_13a_14a,one_trade_at_a_time_chronological,4,-264.2,-304.2,40
top_cross_family_plus_13a_14a,one_trade_at_a_time_chronological,5,1470.88,1430.88,40
top_cross_family_plus_13a_14a,one_trade_at_a_time_chronological,6,3454.73,3411.73,43
top_cross_family_plus_13a_14a,max_one_trade_per_session,1,-976.38,-1016.38,40
top_cross_family_plus_13a_14a,max_one_trade_per_session,2,1230.33,1190.33,40
top_cross_family_plus_13a_14a,max_one_trade_per_session,3,-189.13,-229.13,40
top_cross_family_plus_13a_14a,max_one_trade_per_session,4,-532.37,-572.37,40
top_cross_family_plus_13a_14a,max_one_trade_per_session,5,1187.91,1147.91,40
top_cross_family_plus_13a_14a,max_one_trade_per_session,6,1844.39,1801.39,43
diversifier_only_13a_14a,raw_sum_diagnostic,1,-175.68,-205.68,30
diversifier_only_13a_14a,raw_sum_diagnostic,2,779.4,749.4,30
diversifier_only_13a_14a,raw_sum_diagnostic,3,-1543.26,-1573.26,30
diversifier_only_13a_14a,raw_sum_diagnostic,4,-378.75,-408.75,30
diversifier_only_13a_14a,raw_sum_diagnostic,5,2765.14,2735.14,30
diversifier_only_13a_14a,raw_sum_diagnostic,6,1113.12,1078.12,35
diversifier_only_13a_14a,one_trade_at_a_time_chronological,1,-56.38,-86.38,30
diversifier_only_13a_14a,one_trade_at_a_time_chronological,2,567.54,537.54,30
diversifier_only_13a_14a,one_trade_at_a_time_chronological,3,-1169.49,-1199.49,30
diversifier_only_13a_14a,one_trade_at_a_time_chronological,4,-740.61,-770.61,30
diversifier_only_13a_14a,one_trade_at_a_time_chronological,5,1077.33,1047.33,30
diversifier_only_13a_14a,one_trade_at_a_time_chronological,6,1402.9,1367.9,35
diversifier_only_13a_14a,max_one_trade_per_session,1,-47.75,-77.75,30
diversifier_only_13a_14a,max_one_trade_per_session,2,401.21,371.21,30
diversifier_only_13a_14a,max_one_trade_per_session,3,-533.06,-563.06,30
diversifier_only_13a_14a,max_one_trade_per_session,4,-106.43,-136.43,30
diversifier_only_13a_14a,max_one_trade_per_session,5,994.14,964.14,30
diversifier_only_13a_14a,max_one_trade_per_session,6,412.11,377.11,35
prior_level_diversifiers_only,raw_sum_diagnostic,1,-175.68,-205.68,30
prior_level_diversifiers_only,raw_sum_diagnostic,2,779.4,749.4,30
prior_level_diversifiers_only,raw_sum_diagnostic,3,-1543.26,-1573.26,30
prior_level_diversifiers_only,raw_sum_diagnostic,4,-378.75,-408.75,30
prior_level_diversifiers_only,raw_sum_diagnostic,5,2765.14,2735.14,30
prior_level_diversifiers_only,raw_sum_diagnostic,6,1113.12,1078.12,35
prior_level_diversifiers_only,one_trade_at_a_time_chronological,1,-56.38,-86.38,30
prior_level_diversifiers_only,one_trade_at_a_time_chronological,2,567.54,537.54,30
prior_level_diversifiers_only,one_trade_at_a_time_chronological,3,-1169.49,-1199.49,30
prior_level_diversifiers_only,one_trade_at_a_time_chronological,4,-740.61,-770.61,30
prior_level_diversifiers_only,one_trade_at_a_time_chronological,5,1077.33,1047.33,30
prior_level_diversifiers_only,one_trade_at_a_time_chronological,6,1402.9,1367.9,35
prior_level_diversifiers_only,max_one_trade_per_session,1,-47.75,-77.75,30
prior_level_diversifiers_only,max_one_trade_per_session,2,401.21,371.21,30
prior_level_diversifiers_only,max_one_trade_per_session,3,-533.06,-563.06,30
prior_level_diversifiers_only,max_one_trade_per_session,4,-106.43,-136.43,30
prior_level_diversifiers_only,max_one_trade_per_session,5,994.14,964.14,30
prior_level_diversifiers_only,max_one_trade_per_session,6,412.11,377.11,35
all_parked_modules_with_13a_14a,raw_sum_diagnostic,1,-5006.37,-5046.37,40
all_parked_modules_with_13a_14a,raw_sum_diagnostic,2,2665.35,2625.35,40
all_parked_modules_with_13a_14a,raw_sum_diagnostic,3,7956.59,7916.59,40
all_parked_modules_with_13a_14a,raw_sum_diagnostic,4,5832.35,5792.35,40
all_parked_modules_with_13a_14a,raw_sum_diagnostic,5,4823.12,4783.12,40
all_parked_modules_with_13a_14a,raw_sum_diagnostic,6,15413.1,15370.1,43
all_parked_modules_with_13a_14a,one_trade_at_a_time_chronological,1,-3011.72,-3051.72,40
all_parked_modules_with_13a_14a,one_trade_at_a_time_chronological,2,-228.37,-268.37,40
all_parked_modules_with_13a_14a,one_trade_at_a_time_chronological,3,360.96,320.96,40
all_parked_modules_with_13a_14a,one_trade_at_a_time_chronological,4,-1772.56,-1812.56,40
all_parked_modules_with_13a_14a,one_trade_at_a_time_chronological,5,-1722.35,-1762.35,40
all_parked_modules_with_13a_14a,one_trade_at_a_time_chronological,6,2601.5,2558.5,43
all_parked_modules_with_13a_14a,max_one_trade_per_session,1,-947.39,-987.39,40
all_parked_modules_with_13a_14a,max_one_trade_per_session,2,1020.36,980.36,40
all_parked_modules_with_13a_14a,max_one_trade_per_session,3,-410.13,-450.13,40
all_parked_modules_with_13a_14a,max_one_trade_per_session,4,-384.64,-424.64,40
all_parked_modules_with_13a_14a,max_one_trade_per_session,5,562.41,522.41,40
all_parked_modules_with_13a_14a,max_one_trade_per_session,6,1507.64,1464.64,43
greedy_low_correlation_with_14a,raw_sum_diagnostic,1,-654.21,-694.21,40
greedy_low_correlation_with_14a,raw_sum_diagnostic,2,1868.79,1828.79,40
greedy_low_correlation_with_14a,raw_sum_diagnostic,3,1178.7,1138.7,40
greedy_low_correlation_with_14a,raw_sum_diagnostic,4,-263.89,-303.89,40
greedy_low_correlation_with_14a,raw_sum_diagnostic,5,1085.9,1045.9,40
greedy_low_correlation_with_14a,raw_sum_diagnostic,6,6054.53,6012.53,42
greedy_low_correlation_with_14a,one_trade_at_a_time_chronological,1,-1029.09,-1069.09,40
greedy_low_correlation_with_14a,one_trade_at_a_time_chronological,2,1642.93,1602.93,40
greedy_low_correlation_with_14a,one_trade_at_a_time_chronological,3,1479.94,1439.94,40
greedy_low_correlation_with_14a,one_trade_at_a_time_chronological,4,-582.86,-622.86,40
greedy_low_correlation_with_14a,one_trade_at_a_time_chronological,5,718.26,678.26,40
greedy_low_correlation_with_14a,one_trade_at_a_time_chronological,6,4982.07,4940.07,42
greedy_low_correlation_with_14a,max_one_trade_per_session,1,-668.23,-708.23,40
greedy_low_correlation_with_14a,max_one_trade_per_session,2,1806.4,1766.4,40
greedy_low_correlation_with_14a,max_one_trade_per_session,3,-187.9,-227.9,40
greedy_low_correlation_with_14a,max_one_trade_per_session,4,-970.77,-1010.77,40
greedy_low_correlation_with_14a,max_one_trade_per_session,5,794.01,754.01,40
greedy_low_correlation_with_14a,max_one_trade_per_session,6,2001.02,1959.02,42
