portfolio_set,portfolio_mode,trading_session,current_playbook_no_accepted_trade,phase13a_added_trade,no_module_fired_at_all,large_intraday_movement,rth_range
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2023-01-03,True,False,True,True,337.5
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2023-01-04,True,False,True,False,204.75
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2023-01-05,True,False,True,False,122.5
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2023-01-06,True,False,True,True,399.5
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2023-01-09,True,False,True,False,224.5
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2023-01-10,True,False,True,False,165.25
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2023-01-11,True,False,True,False,188.75
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2023-01-12,True,False,True,False,264.25
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2023-01-13,True,False,True,False,210.75
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2023-01-16,True,False,True,False,50.5
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2023-01-17,True,False,True,False,135.75
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2023-01-18,True,False,True,False,288.75
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2023-01-19,True,False,True,False,146.0
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2023-01-20,True,False,True,True,303.0
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2023-01-23,True,False,True,True,311.25
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2023-01-24,True,False,True,False,113.75
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2023-01-25,True,False,True,True,298.0
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2023-01-26,True,False,True,False,207.5
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2023-01-27,True,False,True,False,266.25
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2023-01-30,True,False,True,False,183.5
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2023-01-31,True,False,True,False,186.75
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2023-02-01,True,False,True,True,461.0
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2023-02-02,True,False,True,False,287.25
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2023-02-03,True,False,True,True,319.5
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2023-02-06,True,False,True,False,152.25
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2023-02-07,True,False,True,True,359.5
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2023-02-08,True,False,True,False,239.75
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2023-02-09,True,False,True,True,363.5
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2023-02-10,True,False,True,False,178.75
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2023-02-13,True,False,True,False,215.75
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2023-02-14,True,False,True,False,282.75
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2023-02-15,True,False,True,False,210.25
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2023-02-16,True,False,True,False,218.5
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2023-02-17,True,False,True,False,158.0
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2023-02-20,True,False,True,False,33.0
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2023-02-21,True,False,True,False,199.75
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2023-02-22,True,False,True,False,156.5
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2023-02-23,True,False,True,False,232.25
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2023-02-24,True,False,True,False,120.25
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2023-02-27,True,False,True,False,131.0
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2023-02-28,True,False,True,False,132.5
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2023-03-01,True,False,True,False,155.0
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2023-03-02,True,False,True,False,250.0
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2023-03-03,True,False,True,False,211.0
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2023-03-06,True,False,True,False,171.5
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2023-03-07,True,False,True,False,225.25
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2023-03-08,True,False,True,False,146.0
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2023-03-09,True,False,True,True,376.75
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2023-03-10,True,False,True,False,283.0
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2023-03-13,True,False,True,True,381.75
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2023-03-14,True,False,True,False,184.75
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2023-03-15,True,False,True,False,255.5
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2023-03-16,True,False,True,True,420.0
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2023-03-17,True,False,True,False,241.0
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2023-03-20,True,False,True,False,178.75
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2023-03-21,True,False,True,False,185.75
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2023-03-22,True,False,True,True,385.75
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2023-03-23,True,False,True,True,298.0
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2023-03-24,True,False,True,False,170.0
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2023-03-27,True,False,True,False,199.5
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2023-03-28,True,False,True,False,142.25
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2023-03-29,True,False,True,False,139.0
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2023-03-30,True,False,True,False,100.75
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2023-03-31,True,False,True,False,233.5
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2023-04-03,True,False,True,False,124.5
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2023-04-04,True,False,True,False,158.0
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2023-04-05,True,False,True,False,176.5
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2023-04-06,True,False,True,False,238.75
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2023-04-10,True,False,True,False,197.25
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2023-04-11,True,False,True,False,109.0
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2023-04-12,True,False,True,False,243.0
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2023-04-13,True,False,True,False,208.75
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2023-04-14,True,False,True,False,199.0
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2023-04-17,True,False,True,False,129.0
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2023-04-18,True,False,True,False,159.5
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2023-04-19,True,False,True,False,148.75
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2023-04-20,True,False,True,False,177.75
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2023-04-21,True,False,True,False,139.0
